Nombre,CAL,P,G,C,showAmountInTable,showInShoppingList,weightOfTheUnit,orderShopping,PP,PG,PC,VALIDATION
Nabo,19,0.9,0.2,3.2,TRUE,TRUE,1,040 - Verdura fresca- Champiñones,18.95%,9.47%,67.37%,OK
Orégano,0,0,0,0,FALSE,FALSE,1,000 - NONE,,,,
Pan blanco,264,9,3.2,49,TRUE,TRUE,1,260 - Pan-Picos,13.64%,10.91%,74.24%,OK
Pan hamburguesa,270,10,4.5,45,TRUE,TRUE,1,270 - Pan envasado-Mermelada-Miel,14.81%,15.00%,66.67%,OK
Pan integral,246,9.6,4.1,45.5,TRUE,TRUE,1,260 - Pan-Picos,15.61%,15.00%,73.98%,OK
Pan thins,240,8.7,2.6,37,TRUE,TRUE,1,270 - Pan envasado-Mermelada-Miel,14.50%,9.75%,61.67%,-0.1408
Pastilla caldo de carne,244,13,15,14,TRUE,FALSE,1,150 - Huevos-Caldo-Aperitivos-Tortitas trigo,21.31%,55.33%,22.95%,OK
Patata,73,2.2,0.2,15.2,TRUE,TRUE,1,010 - Tomate-Patata-Cebolla-Pepino-Ajo,12.05%,2.47%,83.29%,OK
Patatas cong horno,144,2.3,6,20.3,TRUE,TRUE,1,050 - Verdura congelada,6.39%,37.50%,56.39%,OK
Pechuga de pavo,105,24.1,1,0,TRUE,TRUE,1,170 - Carne fresca,91.81%,8.57%,0.00%,OK
Pechuga de pollo,145,22.2,6.2,0,TRUE,TRUE,1,170 - Carne fresca,61.24%,38.48%,0.00%,OK
Pepino,12,0.7,0.1,2,TRUE,TRUE,1,010 - Tomate-Patata-Cebolla-Pepino-Ajo,23.33%,7.50%,66.67%,OK
Pera,45,0.4,0.1,10.6,TRUE,TRUE,150,020 - Fruta,3.56%,2.00%,94.22%,OK
Perejil,0,0,0,0,FALSE,FALSE,1,000 - NONE,,,,
Picatostes tostados (Hacendado),374,11,2,75.6,TRUE,TRUE,1,270 - Pan envasado-Mermelada-Miel,11.76%,4.81%,80.86%,OK
